,safegraph_place_id,poi_cbg,latitude,longitude,source_cbg,visits
3602,sg:040bca17cc344802b656592e5c3691fa,170313201001,41.882608000000005,-87.622513,181050002011,4
3607,sg:4f33671ec6ee4da49e3babf3c4997c10,180973203044,39.908459,-86.073255,181050002011,4
3616,sg:c66378604f6a4618806d248249498ed0,180571110082,39.969623999999996,-86.13033100000001,181050002011,4
3622,sg:f7c955a983414799a27dadfd4e27a370,180890426052,41.439452,-87.467224,181050002011,4
3628,sg:5f38c513370546c58167ae641315a778,180571111025,39.936536,-86.231999,181050002011,4
3705,sg:b02951274f4741bbae96f2cf6d04bc5e,180594108001,39.740269,-85.92419,181050002011,4
3713,sg:1f1f9ffa5a2e40d6819e2b589f951579,180594102004,39.901581,-85.844883,181050002011,4
3765,sg:0c4fcda4ea734365ad81524424865a01,180973201091,39.911203,-86.18353,181050002011,4
3808,sg:7237febdd9204e1a95bb202238230e4f,180816106052,39.605290999999994,-86.156257,181050002011,4
3824,sg:defe11f73e57455f96ec32e5c6f6f311,180973542003,39.771865000000005,-86.153104,181050002011,4
3856,sg:31ddf77fb4954f36b2ad65eac963254c,180571108061,39.993921,-85.92715,181050002011,4
3891,sg:bce62cd0762d47ee83b5ec3563208fcb,180973212001,39.869949,-86.141518,181050002011,4
3981,sg:74483355b03d4f3c83799685d41cdcf8,180632102024,39.843073,-86.39871,181050002011,4
3997,sg:0c320ac4a80448878307633b2a067e21,180571104031,40.004334,-86.125068,181050002011,4
4017,sg:6e3eb2ff60794ddc89e600505e729fd1,180973202043,39.913585,-86.109706,181050002011,4
4044,sg:4e7d9ff6cf0245b4b839213b37fe1c54,180571105081,40.003734,-86.069121,181050002011,4
4065,sg:bb73325259804bb29f79a4c57bd079c2,180571108123,39.958574,-86.015793,181050002011,4
4114,sg:f5a34fc482dc46e29fe1ecc1279f3018,180973616001,39.774046000000006,-85.976484,181050002011,4
4115,sg:99aac77085cc49128ea33bc8d21bd0bf,180571104031,40.005683000000005,-86.124237,181050002011,4
4393,sg:3a28b080035d4c16b6d895ffd2dfcb60,40132168071,33.57862,-111.88816100000001,181050002011,4
4400,sg:0fae005b9ae441cfa6a7981d3d009c39,60590423131,33.463076,-117.686315,181050002011,4
4413,sg:6f3cc4aad88043178b21db9c75316a1f,60133500001,37.891481,-122.119984,181050002011,4
4437,sg:3d2dbee974ac40ebbc1646dbe526fcb1,81170004014,39.474937,-106.08153999999999,181050002011,4
4441,sg:9090003657bd42e8ac09f078af1588e2,81170004014,39.478072999999995,-106.045479,181050002011,4
4448,sg:5a687a9496e94121ae57a128b8e5c677,81170004022,39.472671999999996,-106.039626,181050002011,4
4451,sg:0faddd7c3fb44de798bd9065074eb522,90010212002,41.073894,-73.548376,181050002011,4
4463,sg:8f34a01ab8064f84994356452a13660d,120110901021,26.081134,-80.12516600000001,181050002011,4
4468,sg:fde307a11aea42a2abee73abd3c0621d,120950168021,28.427528000000002,-81.311544,181050002011,6
4538,sg:436862a4da4440278e52ef0c7514c59d,120950171032,28.358749,-81.589492,181050002011,4
4542,sg:74fa92d8e8ee45298f254e9f640c489a,131210026001,33.755061,-84.400573,181050002011,4
4544,sg:8c0a3e39cbaa462191e4b7248202595a,130890212163,33.924848,-84.336053,181050002011,4
4560,sg:9c9602c8c6fe4bb2927a9a37a4c8421c,160010008042,43.597623,-116.183551,181050002011,4
4569,sg:06954968d7be4df58c3fafd8211ca297,170319801001,41.788441999999996,-87.749994,181050002011,4
4571,sg:2f056c9e90f04d1ab108f94bae0b110f,170318024023,42.146347999999996,-87.911879,181050002011,4
4580,sg:02c8971228234629bdf9754886db0cba,170978645121,42.198434999999996,-87.968877,181050002011,4
4582,sg:e59b023444ac4fe9bab141a375e7a6a0,170978644032,42.165305,-88.05769699999999,181050002011,4
4594,sg:104967367cbc4bacb7ac9e8b5e7d46d8,170318016063,42.109516,-87.874425,181050002011,4
4628,sg:2d25f2f7e2234f1690030a828ca0d67b,171670012004,39.786649,-89.666607,181050002011,4
4644,sg:155634ed75904c469c0d64e0ac8d53cc,170318253042,41.579592,-87.811776,181050002011,4
4648,sg:d9eb797e57c34ec9945af13e827b652d,170318046033,42.04047,-88.03370600000001,181050002011,4
4650,sg:ac9a046f451c4317b64da924642e1998,170978645163,42.154596999999995,-87.98354499999999,181050002011,4
4655,sg:addc832b21ff4900a8b35462d247ad91,170318016083,42.104704999999996,-87.84713599999999,181050002011,4
4658,sg:7ce69df6b236486ca1d0f6363a67f224,171978803101,41.664656,-88.205688,181050002011,4
4664,sg:72513b2e860940b5a01022b922702a08,170313201001,41.882665,-87.623866,181050002011,4
4674,sg:9e0f095751764a5291aca6175a59065f,170318247012,41.629391,-87.71943399999999,181050002011,4
4687,sg:f640ee505a0b4ad1ae0b11ceebd9003b,180571110081,39.962651,-86.156503,181050002011,4
4859,sg:f856a61d083f4990b5e590940697f878,180571110071,39.962101000000004,-86.124094,181050002011,4
4936,sg:53f07a8b235f478992e6cc1dbc93354c,180973910003,39.76293,-86.15799399999999,181050002011,4
4951,sg:1483fb5e8e4c4e589d8ef1bf76220655,180118106033,39.947401,-86.34405,181050002011,6
4954,sg:43d07898437340689c9c6c2467929aca,180973302091,39.872468,-85.957955,181050002011,4
5003,sg:5917fc6ac6024be2a0c6654c077388c4,180632101032,39.863994,-86.393677,181050002011,4
5030,sg:ec1887d1323941e28ecda3501a016c49,180973203044,39.905654,-86.077216,181050002011,4
5032,sg:1eda4d2437404c0fbcf5df8aa9b393e0,180973101042,39.925765999999996,-86.228645,181050002011,5
5085,sg:43b9c11a620f46f5b941f6053e28f137,180659767001,39.843792,-85.557877,181050002011,4
5124,sg:31f9c5f5dd60463e9a031fb5f50cc80f,180571109041,39.997793,-86.124128,181050002011,4
5139,sg:acab2fa32c40440e8e9485bb0641e0df,180571108061,39.992275,-85.93023199999999,181050002011,7
5149,sg:132d69fb01ce49aeafb18b5549dcd21e,180571108041,39.956977,-85.91631,181050002011,4
5184,sg:14983f1ea155483a91800e05f15a2ba3,180973302091,39.858828,-85.973569,181050002011,4
5548,sg:34439c0654b148839c44248f765aeba4,60590117153,33.878975,-117.86007,181050002012,4
5550,sg:470698e4b1f143e2b4b817dd3ebd2ef2,80490002024,39.923761999999996,-105.787596,181050002012,4
5559,sg:2f109267277a4112b6f9de903bea9f80,81230008003,40.393406,-104.690857,181050002012,4
5567,sg:bea8910206914a44b0566299900b5d82,81170004014,39.480222999999995,-106.066673,181050002012,4
5568,sg:549ad01b6b424c6781af5e56e263c793,80490002024,39.9377,-105.81359099999999,181050002012,4
5569,sg:e51103c2fe98441a9d714aec25533f22,80690013052,40.611397,-105.07606499999999,181050002012,4
5627,sg:6f402c94708943baa176f539ece3fceb,120990073023,26.368128000000002,-80.07674,181050002012,4
5636,sg:03ff1835f47b4e7d922411dcdfe52ec6,120860001203,25.889931,-80.16165699999999,181050002012,4
5686,sg:3935d10dcce047c1a7784027dbc270ee,170318184012,41.868281,-87.887823,181050002012,4
5693,sg:ab7ed0804f10443a83f578e4f8ff6d9d,170319800001,41.975770000000004,-87.891601,181050002012,4
5707,sg:7be5ad3bea394e599a0580d6cf672af1,170438412103,41.915919,-88.12818399999999,181050002012,4
5716,sg:4597c50e87564d99bdcdfb46e1c0ee1f,170438443014,41.844309,-88.01229000000001,181050002012,4
